species,species_code,name,identifier
Arabidopsis,ath,ATG1,At3g61960
Arabidopsis,ath,ATG2,AT3G19190
Arabidopsis,ath,ATG3,AT5G61500
Arabidopsis,ath,ATG4,AT2G44140
Arabidopsis,ath,ATG5,AT5G17290
Arabidopsis,ath,ATG6,AT3G61710
Arabidopsis,ath,ATG7,AT5G45900
Arabidopsis,ath,ATG8,AT2G05630
Arabidopsis,ath,ATG9,AT2G31260
Arabidopsis,ath,ATG10,AT3G07525
Arabidopsis,ath,ATG11,AT4G30790
Arabidopsis,ath,ATG12,AT1G54210
Arabidopsis,ath,ATG13,AT3G49590
Arabidopsis,ath,ATG16,AT5G50230
Arabidopsis,ath,ATG18,AT3G62770
Arabidopsis,ath,ATG101,AT5G66930